id,text,cleaned_text
1214083320922935296,"RT @AirlineNewsIntl: This year the Lufthansa Group will be hiring more than 4,500 new employees in Germany, Austria and Switzerland. Among…",this year the lufthansa group will be hiring more than 4500 new employees in germany austria and switzerland among
1227846502376263687,"RT @Volly_H_Lee: Bekannte Airline Slogans:

LUFTHANSA: 
„Say yes to the World“

AIR FRANCE: 
„France is in the Air“

EMIRATES: 
„Don‘t just…",bekannte airline slogans lufthansa say yes to the world air france france is in the air emirates dont just
1215248762920108033,"RT @MigunaMiguna: The Lufthansa Group which owns and operates @lufthansa, the airline that acquiesced to an illegal RED ALERT by Despot Uhu…",the lufthansa group which owns and operates @user the airline that acquiesced to an illegal red alert by despot uhu
1215254201548394497,"RT @MigunaMiguna: The Lufthansa Group which owns and operates @lufthansa, the airline that acquiesced to an illegal RED ALERT by Despot Uhu…",the lufthansa group which owns and operates @user the airline that acquiesced to an illegal red alert by despot uhu
1204042757674688513,"RT @breakingavnews: Spirit Airlines A319 seriously damaged during maintenance at Lufthansa Technik facility in Aguadilla, Puerto Rico. http…",spirit airlines a319 seriously damaged during maintenance at lufthansa technik facility in aguadilla puerto rico
1237419594215759875,The highest #dividend #yield #dividendenrendite (7.59%) of the #DAX 30 is LUFTHANSA. https://t.co/gTQfksAhb7,the highest #dividend #yield #dividendenrendite 759 of the #dax 30 is lufthansa
1229239070406127617,RT @MightyTravels: Lufthansa: Kiev (KBP) to Dublin (DUB) just US$ 372 Business Class Round Trip incl all taxes and fees https://t.co/2D563C…,lufthansa kiev kbp to dublin dub just us 372 business class round trip incl all taxes and fees
1240632575506485249,@lufthansa We’ve been calling for over 4 hours and keep getting disconnected at 33 minute mark. What do you suggest when we’re trying not to get stuck in Europe.,@user weve been calling for over 4 hours and keep getting disconnected at 33 minute mark what do you suggest when were trying not to get stuck in europe
1219792096690761730,"RT @innowatcher: TripActions Lands in Europe with Lufthansa Investment | TripActions https://t.co/WBs7CFg60h, see more https://t.co/fYaRcax…",tripactions lands in europe with lufthansa investment tripactions see more
1203128445812781056,@MackAtttack @Darrk56 @lufthansa We are now waiting for a hotel room to then get up in 4 hours for a flight theu have put us on. Unfortunately it means our weekend away in Munich will now be barely 24 hours..@lufthansa what a mess,@user @user @user we are now waiting for a hotel room to then get up in 4 hours for a flight theu have put us on unfortunately it means our weekend away in munich will now be barely 24 hours@user what a mess
1194633732797300743,"@airclips are you the company that did Lufthansa cargo  inga and claudia,  when is next vid coming on you tube",@user are you the company that did lufthansa cargo inga and claudia when is next vid coming on you tube
1227428378313183232,"@united It’s not on the United side, I log into @lufthansa and it sends me to the United website since the first flight is United from OKC to H town. All good, see you tomorrow.",@user its not on the united side i log into @user and it sends me to the united website since the first flight is united from okc to h town all good see you tomorrow
1214658409699643392,@lufthansa could you please get customer relations to respond to my emails? Its been 4 months now with no reply. Who do i have to go to? The civil aviation authority?,@user could you please get customer relations to respond to my emails its been 4 months now with no reply who do i have to go to the civil aviation authority
1152911122703556608,"RT @Asmali77: British Airways suspends all flights to Cairo for 7 days for ""safety reasons"" and Lufthansa suspended all flights yesterday u…",british airways suspends all flights to cairo for 7 days for safety reasons and lufthansa suspended all flights yesterday u
1133992277418729473,"Lufthansa Cargo flight #GEC8230 spotted at 28,275 feet! https://t.co/apnzbaepOc",lufthansa cargo flight #gec8230 spotted at 28275 feet
1140995687171133441,Only @lufthansa they flight attendant will change your seat so they can give it to a friend. #embarrassing #worstairliner,only @user they flight attendant will change your seat so they can give it to a friend #embarrassing #worstairliner
1243095615837536256,"RT @flightradar24: Lufthansa continues to evacute German citizens from remote destinations under lockdown.

Currently we are tracking one f…",lufthansa continues to evacute german citizens from remote destinations under lockdown currently we are tracking one f
1138581762135777280,@SharylAttkisson @KLM I always fly @Lufthansa_USA ! Never lost any thing flying with them mainly out of #ATL Lost a couple bags on United but they found me 2 weeks later with a TSA tag and I had bought a real nice Chef Knife  from Emerald Restraunt in New Orleans! They confiscated  it....  lol,@user @user i always fly @user never lost any thing flying with them mainly out of #atl lost a couple bags on united but they found me 2 weeks later with a tsa tag and i had bought a real nice chef knife from emerald restraunt in new orleans they confiscated it lol
1243152726852284419,RT @lufthansaNews: Physical distancing: Lufthansa &amp; @Eurowings introduce further distance rules. From tomorrow on all flights from Germany…,physical distancing lufthansa amp @user introduce further distance rules from tomorrow on all flights from germany
1134720886936723463,"Crew Management Market to Witness Huge Growth by 2025 | Sabre Airline Solutions, Lufthansa Systems, Fujitsu https://t.co/U9sTdz1rfe https://t.co/duOURJnkwy",crew management market to witness huge growth by 2025 sabre airline solutions lufthansa systems fujitsu
1238961592609443841,This time when I watched I realized it was Jimmy Conway who was getting everybody killed at the end. The narration is too perfect. Jimmy got that Lufthansa money and acted a fool.,this time when i watched i realized it was jimmy conway who was getting everybody killed at the end the narration is too perfect jimmy got that lufthansa money and acted a fool
1144424713483104256,@Mavs_FFL @luka7doncic @lufthansa Oh Didn’t expect from @lufthansa,@user @user @user oh didnt expect from @user
1169735805713223683,Actually the crying isn't because @lufthansa refuses to use my proper name on airline tickets. It's because EVERYONE ELSE thinks CHANGING MY NAME to accommodate an airline ticket system is totally reasonable,actually the crying isnt because @user refuses to use my proper name on airline tickets its because everyone else thinks changing my name to accommodate an airline ticket system is totally reasonable
1141044340640374784,"RT @lufthansavintag: Bobby
Photo: Don Hewins
Aircraft: Boeing 737-230/Adv
Airport:  Bremen (BRE/EDDW)
Reg: D-ABFX named ""Tübingen""
Engines:…",bobby photo don hewins aircraft boeing 737230adv airport bremen breeddw reg dabfx named tübingen engines
1159245933810335744,RT @ShorealoneFilms: avoiding the weather #Lufthansa #avgeek https://t.co/fmcsn6qAs6,avoiding the weather #lufthansa #avgeek
1134526899944939529,"@doublewidesfly @lufthansa Same day LH F arrival is fine, just not FCT (unless traveling on LX or OS onward)",@user @user same day lh f arrival is fine just not fct unless traveling on lx or os onward
1230462866832031746,"RT @MiPandeho: @lakshmianand96 @venky3112 Bull’s eye. Our own, who travel in United airlines, Lufthansa, etc., exhibit model behavior. Trav…",@user @user bulls eye our own who travel in united airlines lufthansa etc exhibit model behavior trav
1240602449876062210,RT @Kayyyy95: @lufthansa Hi I would like to be issued with a flight voucher for my tickets but can’t seem to get through to your service ce…,@user hi i would like to be issued with a flight voucher for my tickets but cant seem to get through to your service ce
1138391876438913024,@mr_leonard_SWIS @paoplayz @lufthansa The first lesson you learn when flying with @lufthansa is that you should not fly @lufthansa,@user @user @user the first lesson you learn when flying with @user is that you should not fly @user
1200892291260592132,RT @Reuters: Lufthansa catering unit staff to hold 24-hour strike on Dec 2 - union https://t.co/QDcxWEmZgn https://t.co/yGwwH8vq19,lufthansa catering unit staff to hold 24hour strike on dec 2 union
1218467331527016448,Lufthansa: Brussels (BRU) to Moscow (DME) just US$ 493 Business Class Round Trip incl all taxes and fees https://t.co/uVUTiE4Gm5,lufthansa brussels bru to moscow dme just us 493 business class round trip incl all taxes and fees
1204414386279870464,Lufthansa’s Miles and More program has data breach. I have been able to see data of a guy who works at airbus. He has been into other accounts. LH have suspended service #cybersecurity #data #privacy,lufthansas miles and more program has data breach i have been able to see data of a guy who works at airbus he has been into other accounts lh have suspended service #cybersecurity #data #privacy
1215389197470720000,RT @lufthansa: @tvtvtvtvtvtvtvt Lufthansa confirms that today’s flight LH600 on its way from Frankfurt to Teheran returned to Frankfurt aft…,@user lufthansa confirms that todays flight lh600 on its way from frankfurt to teheran returned to frankfurt aft
1192109662604124160,Lufthansa strike: Airline activates special flight schedule for Thursday and Friday https://t.co/d030NlIKHt https://t.co/Ggsa6WzUZz,lufthansa strike airline activates special flight schedule for thursday and friday
1232707630705102849,"There is (still) at least one flight leaving Milan every 5 mins 

@qatarairways @easyJet @eurowings @vueling @lufthansa @Ryanair @airfrance @royalairmarocuk @wizzair

You are responsible for the spreading of COVID-19 in Europe, stop thinking about profit.

#COVIDー19 #Coronavirus https://t.co/0QepAC1xeI",there is still at least one flight leaving milan every 5 mins @user @user @user @user @user @user @user @user @user you are responsible for the spreading of covid19 in europe stop thinking about profit #covidー19 #coronavirus
1143478380945391616,"RT @MyFCMB: Travelling this summer? Enjoy exclusive discounts on flight tickets with Virgin Atlantic, Etihad, Lufthansa, Ethiopia and Delta…",travelling this summer enjoy exclusive discounts on flight tickets with virgin atlantic etihad lufthansa ethiopia and delta
1131834792796991488,"@Unclekage Saw one taxiing at Denver a couple weeks ago, they are such pretty planes, and look good in Lufthansa's paint. =^.^=",@user saw one taxiing at denver a couple weeks ago they are such pretty planes and look good in lufthansas paint
1157454343894896640,@lufthansa @lufthansavintag I still love the classic Boeing 747 of that time than the current 747's. I was 3 in 1970 but what a great picture.,@user @user i still love the classic boeing 747 of that time than the current 747s i was 3 in 1970 but what a great picture
1228672212963667968,RT @Malimas21: @British_Airways #@lufthansa flights cancelled  due to storm Dennis but different outcome ba as a silver member very unhelpf…,@user #@user flights cancelled due to storm dennis but different outcome ba as a silver member very unhelpf
1139048793565827072,"@SanguDelle @British_Airways 😂😂😂 I stopped flying @British_Airways years ago for this very same reason. Lufthansa, Delta, Virgin. Finish. I don’t know why you people continue to play yourself and give your money to a company that 🗣doesn’t respect you",@user @user i stopped flying @user years ago for this very same reason lufthansa delta virgin finish i dont know why you people continue to play yourself and give your money to a company that doesnt respect you
1226589116118306819,The Crete airport will be ready in 2025! So until then go to Athens Airport in Greece! @AmericanAir @KLM @lufthansa cc @kmitsotakis @grigoris_d #tourism #Greece https://t.co/dBkjmbcBKI,the crete airport will be ready in 2025 so until then go to athens airport in greece @user @user @user cc @user @user #tourism #greece
1196266058975531010,RT @FlightGlobal: Lufthansa Technik puts A220 observation deck concept on view #DAS19 https://t.co/4DHZHkLtlN https://t.co/9dpS4LYiyY,lufthansa technik puts a220 observation deck concept on view #das19
1204592987046436865,"@chris_muther , I don't understand what you said in your article Sunday about the bankruptcy of Adria Airways and how no other airline was flying to Slovenia. Lots of airlines fly into Ljubljana, including LOT, Air France, Lufthansa, EasyJet, Aeroflot, BA, etc., etc. Pls clarify.",@user i dont understand what you said in your article sunday about the bankruptcy of adria airways and how no other airline was flying to slovenia lots of airlines fly into ljubljana including lot air france lufthansa easyjet aeroflot ba etc etc pls clarify
1165516155819298816,RT @MsSaffaa: Is this how European countries are now going to treat #Saudi women travelling alone? @lufthansa should investigate this incid…,is this how european countries are now going to treat #saudi women travelling alone @user should investigate this incid
1169238430871707650,@MCO Will shops/restaurants be open so quickly too? We have a loong time to wait as our flight is delayed and Magical Express wont adjust pick up times. So happy Lufthansa is operating.,@user will shopsrestaurants be open so quickly too we have a loong time to wait as our flight is delayed and magical express wont adjust pick up times so happy lufthansa is operating
1192451828266356737,"@skift Lufthansa isn’t cool, few airlines are cool in the eyes of 99% of the flying public are cool (maybe more). Neither Alitalia or Condor is cool. Maybe Virgin (brand X) under some circumstances-JetBlue, maybe-what else is cool? 🙄 Gimme a break-don’t only swim in the fishbowl fellas",@user lufthansa isnt cool few airlines are cool in the eyes of 99 of the flying public are cool maybe more neither alitalia or condor is cool maybe virgin brand x under some circumstancesjetblue maybewhat else is cool gimme a breakdont only swim in the fishbowl fellas
1168688693743443970,@SpaethFlies @lufthansa On Thursday and Friday! Will you be there?,@user @user on thursday and friday will you be there
1227640641091444736,@lufthansaNews @tinachL @lufthansa @ChristinaFoe different assessment or profit over passenger's well being?,@user @user @user @user different assessment or profit over passengers well being
1142003681480646656,"RT @spectatorindex: Airlines that will avoid Iranian airspace:

- United Airlines
- Qantas
- KLM
- Lufthansa",airlines that will avoid iranian airspace united airlines qantas klm lufthansa
1239212579546968064,"@lufthansa Is there any deadline for rebooking the tickets purchased before March 5th? Timeframe is 16-25.4. We would like to keep the tickets, but not sure until when we can decide for new dates. Thanks!",@user is there any deadline for rebooking the tickets purchased before march 5th timeframe is 16254 we would like to keep the tickets but not sure until when we can decide for new dates thanks
1153129940138766336,"Lufthansa Resumes Flights to Cairo, British Airways Stays Grounded https://t.co/eYZZ2voAZT",lufthansa resumes flights to cairo british airways stays grounded
1135554285993943040,"Lufthansa Looking To Acquire Another Airline, But Which One?:
https://t.co/qBj6M4mDxU
#Aviation #Airline https://t.co/sajtuZRpaM",lufthansa looking to acquire another airline but which one #aviation #airline
1238363485819539456,"RT @HildaTheHild: @lufthansa your bookings check is very misleading - as I couldn’t check my flight status and there was a ‘refund’ option,…",@user your bookings check is very misleading as i couldnt check my flight status and there was a refund option
1212030262357512192,@AngryBird8011 If Germany seeks investments in Pakistan..why don t Lufthansa  flies to Pakistan? Only Lufthansa cargo flies to Pakistan??,@user if germany seeks investments in pakistanwhy don t lufthansa flies to pakistan only lufthansa cargo flies to pakistan
1174593172653182976,"@cascer1 Try https://t.co/zcb8qXHyMH and Lufthansa. Was so ez to give them my money and probably agree to some terms and conditions that said that I'll have to give them my first born, but oh well",@user try and lufthansa was so ez to give them my money and probably agree to some terms and conditions that said that ill have to give them my first born but oh well
1174592146252423168,@lufthansa please hold flight LH 456 Frankfort to LAX. There was no tram running to Z because there was a suspicious package. so we all have to exit airport and going the security,@user please hold flight lh 456 frankfort to lax there was no tram running to z because there was a suspicious package so we all have to exit airport and going the security
1207034071651684352,@sykrob @lufthansa @DFWAirport Sounds like a wonderful trip 🤩 We wish you a good flight tomorrow ✈️,@user @user @user sounds like a wonderful trip we wish you a good flight tomorrow
1236737309443264514,@lufthansa just as precautionary measure for this #coronavirus,@user just as precautionary measure for this #coronavirus
1158270769303977986,"What’s your dream destination in Europe? Tell us where and why, your dream could come true! To celebrate 25 years of flying from Chennai to Europe, the top 25 entries will get a gift hamper each and one lucky winner will fly away with two Lufthansa tickets from Chennai to Europe. https://t.co/eaTivzriKV",whats your dream destination in europe tell us where and why your dream could come true to celebrate 25 years of flying from chennai to europe the top 25 entries will get a gift hamper each and one lucky winner will fly away with two lufthansa tickets from chennai to europe
1146109699978403841,"@lufthansa Thank you. I have DM'd you with the ID no.
Thanks, Luke",@user thank you i have dmd you with the id no thanks luke
1131324660841406465,@MaxK_J @lufthansa @BoeingAirplanes The -8 doesn't look so stretched until you see it like that,@user @user @user the 8 doesnt look so stretched until you see it like that
1214537079465615360,RT @MigunaMiguna: The Office of the President issued a RED ALERT to Lufthansa last evening threatening to deny landing rights to the airlin…,the office of the president issued a red alert to lufthansa last evening threatening to deny landing rights to the airlin
1141123986505555973,RT @DublinAirport: Win flights for 2 to your choice of Munich or Frankfurt from Dublin with @lufthansa Both cities boast a host of things t…,win flights for 2 to your choice of munich or frankfurt from dublin with @user both cities boast a host of things t
1147257011358314497,"RT @AirlineFlyer: Still have no idea why the Lufthansa Group US headquarters is in East Meadow on Long Island, but I'm digging the branding…",still have no idea why the lufthansa group us headquarters is in east meadow on long island but im digging the branding
1214437770401333250,"Miguna Miguna tells Jeff Koinange on Hot 96 that he has been prevented from boarding a Lufthansa flight to JKIA at Berlin Airport due to an International Red Alert that was issued barring him from boarding flights to any African country.

#MIGUNAMIGUNA https://t.co/PpRRYbLd1L",miguna miguna tells jeff koinange on hot 96 that he has been prevented from boarding a lufthansa flight to jkia at berlin airport due to an international red alert that was issued barring him from boarding flights to any african country #migunamiguna
1233134449866551308,@UreshP This one is UA &amp; Lufthansa. Looks better https://t.co/9SxGn7bEdY,@user this one is ua amp lufthansa looks better
1194398068709429253,Lufthansa Reaches A Ceasefire With The UFO Cabin Crew Union https://t.co/tWjtvU2a2L,lufthansa reaches a ceasefire with the ufo cabin crew union
1236040583476654082,"RT @RichardEngel: As flights around the world are being canceled, Lufthansa announcing it’s cutting capacity up to 50% and the WHO saying c…",as flights around the world are being canceled lufthansa announcing its cutting capacity up to 50 and the who saying c
1235559183958847490,"RT @DeItaOne: DEUTSCHE LUFTHANSA AG  https://t.co/ix1hi8XmQQ - UNTIL END OF MARCH, LUFTHANSA IS CANCELLING A TOTAL OF ABOUT 7,100 FLIGHTS",deutsche lufthansa ag until end of march lufthansa is cancelling a total of about 7100 flights
1233402559659900930,Lufthansa: Stop transporting Irish greyhounds to China! Plz sign: https://t.co/DQTXyJSr7t https://t.co/HMOuogDMjZ,lufthansa stop transporting irish greyhounds to china plz sign
1145413720035778561,RT @EmeraldMedia: Remembering one #MoritzSuter announcing Lufthansa CityLine was buying it (728) at an airshow press conf too -  sending LH…,remembering one #moritzsuter announcing lufthansa cityline was buying it 728 at an airshow press conf too sending lh
1215002376941293572,RT @Mohamed06335877: @MigunaMiguna @lufthansa @airfrance General we love u May God protect u....,@user @user @user general we love u may god protect u
1141964441954803713,"RT @AvgeekMel: Congratulations to @lufthansa on winning 6 #Skytrax 2019 awards including Best First, Business &amp; Economy Class in Europe. He…",congratulations to @user on winning 6 #skytrax 2019 awards including best first business amp economy class in europe he
1215002282569453573,"@MigunaMiguna @lufthansa @airfrance I love the persona of Miguna, Oguna  seemed green and confused ,damn!.. What a state of affairs?",@user @user @user i love the persona of miguna oguna seemed green and confused damn what a state of affairs
1157746987414020104,"Because my entire original flight home got canceled and I had to fly home a day later I only get to see my best friend for 2 hours and that included just taking her to the airport to go back to base but it’s well worth it. Also, fuck Lufthansa Airlines.",because my entire original flight home got canceled and i had to fly home a day later i only get to see my best friend for 2 hours and that included just taking her to the airport to go back to base but its well worth it also fuck lufthansa airlines
1214785794323308544,"RT @AsherDeMontreal: Lufthansa innovation hub estimates shared e-scooter emissions as worse than a gasoline moped or an electric car, a tes…",lufthansa innovation hub estimates shared escooter emissions as worse than a gasoline moped or an electric car a tes
1230137160478711810,"RT @Lufthansa_India: A special situation is expected for the Lufthansa hub in Munich on Monday, February 10. More detailed information can…",a special situation is expected for the lufthansa hub in munich on monday february 10 more detailed information can
1236535841775710209,@aguudoLEXJ What years did @lufthansa have this livery?,@user what years did @user have this livery
1205089357000060928,This is Lufthansa’s boarding process. Unbelievable. 🤦‍♂️ https://t.co/KnqmyMofP1,this is lufthansas boarding process unbelievable
1224150284814995456,"RT @ExpansionMx: Air France, British Airways, Air Canada, Lufthansa, American Airlines, United Airlines, American Airlines o Delta, suspend…",air france british airways air canada lufthansa american airlines united airlines american airlines o delta suspend
1235598079664869376,"Lufthansa suspends 7,100 flights in March, including to Israel https://t.co/14GMql9p8u https://t.co/lMiVUhxVLF",lufthansa suspends 7100 flights in march including to israel
1192515934331850754,"RT @NetInthe: Lufthansa strike kicks in, no end in sight to dispute https://t.co/xUTe29lqZ7 https://t.co/cYa6vhBqfO",lufthansa strike kicks in no end in sight to dispute
1199934328525996032,Lufthansa: Belgrade (BEG) to Malaga (AGP) just US$ 454 Business Class Round Trip incl all taxes and fees https://t.co/hvp37nLm3e,lufthansa belgrade beg to malaga agp just us 454 business class round trip incl all taxes and fees
1174737178401722368,RT @Lufthansa_India: Win a trip to a life changing place! What emotions are evoked by different places of the world? Tell us what you feel…,win a trip to a life changing place what emotions are evoked by different places of the world tell us what you feel
1175850304698376192,"1972 Summer Olympics

October 29, 1972, in exchange for a hijacked Lufthansa jet. Two of those three were supposedly hunted down and assassinated later by the Mossad.[10]",1972 summer olympics october 29 1972 in exchange for a hijacked lufthansa jet two of those three were supposedly hunted down and assassinated later by the mossad10
1207411081922142208,@lufthansa the crew on LH1027 on 15 Dec gave my nephew a little plush plane. he is so delighted and loves his little 'Thansa! thank you so much to the crew for a wonderful treat and the best flight memory of the week. he has been playing with it so much as we drive around Europe! https://t.co/t3LfpgYTMU,@user the crew on lh1027 on 15 dec gave my nephew a little plush plane he is so delighted and loves his little thansa thank you so much to the crew for a wonderful treat and the best flight memory of the week he has been playing with it so much as we drive around europe
1241472562682646528,@lufthansa I don't understand why only the status of the next 6 days flights appears,@user i dont understand why only the status of the next 6 days flights appears
1212812497431994368,"Deal alert: Lufthansa business class to Europe starting at $1,685 R/T 
 For more TPG news and deals delivered each morning to your inbox, sign up for our daily newsletter here: https://t.co/73kMfAiZEg
If you’re planning a Europe trip and you  
 https://t.co/LGxb8W39Tc https://t.co/alxTp1t38D",deal alert lufthansa business class to europe starting at 1685 rt for more tpg news and deals delivered each morning to your inbox sign up for our daily newsletter here if youre planning a europe trip and you
1166802993389473793,.@lufthansa now allows customers the option to purchase climate-friendly fuel or the option to donate to reforestation efforts. Sounds like something I need to look into for my next flight! https://t.co/MFPfiG1LXE,@user now allows customers the option to purchase climatefriendly fuel or the option to donate to reforestation efforts sounds like something i need to look into for my next flight
1225536396263383043,"@lufthansa: was denied access to United biz lounge in RDU. Me: You took my $ for biz! They: LH took your $, we compete with them. @staralliance 👍👍👍 @UnitedAirlines",@user was denied access to united biz lounge in rdu me you took my for biz they lh took your we compete with them @user @user
1227311222669938689,A @lufthansa  A320 @Airbus Crossing the Moon Over Essex inbound Heathrow from Frankfurt https://t.co/WiVltkQCGS,a @user a320 @user crossing the moon over essex inbound heathrow from frankfurt
1197947669873930241,RT @endaburke81: Panned evening arrival of this @lufthansa 747 at @Airport_FRA back in October 2017 #fraport #frankfurt #germany #boeing #b…,panned evening arrival of this @user 747 at @user back in october 2017 #fraport #frankfurt #germany #boeing #b
1205762910359838720,"TheFlightDeal: #Airfare Deal: [Lufthansa] Boston - Nairobi, Kenya. $594 roundtrip. Details: https://t.co/ddo5gaYr4k #travel",theflightdeal #airfare deal lufthansa boston nairobi kenya 594 roundtrip details #travel
1143679867252174848,"@BarstoolBigCat @lufthansa I'm glad Ray Liotta ripped those pricks off, now.",@user @user im glad ray liotta ripped those pricks off now
1239381726775914499,RT @MailOnline: Dozens of Lufthansa planes are pictured parked in a row at Berlin airport showing the scale of the crisis facing airlines h…,dozens of lufthansa planes are pictured parked in a row at berlin airport showing the scale of the crisis facing airlines h
