text,label
"[user] Hi [USER] on your app, flight 464 is listed as ""on time"". It has not left yet. Any update on thi
[user] [USER] We expect to receive more information at 15:30 from the airport. As soon as there is an",Negative
"[user] Hi [USER] on your app, flight 464 is listed as ""on time"". It has not left yet. Any update on thi
[user] [USER] We expect to receive more information at 15:30 from the airport. As soon as there is an
[user] [USER] It is much later now.......... what's going on?",Negative
"[user] Hi [USER] on your app, flight 464 is listed as ""on time"". It has not left yet. Any update on thi
[user] [USER] We expect to receive more information at 15:30 from the airport. As soon as there is an
[user] [USER] It is much later now.......... what's going on?
[user] [USER] Sorry, the airport still hasn't sent an update regarding a new departure time. /Nes",Negative
[user] RT [USER]: [USER] I see many flights cancelled from Frankfurt. Only LH. Can you confirm,Negative
[user] Hopefully the one live sports channel on my [USER] flight tonight shows the #UEFA Champions Leag,Positive
[user] RT [USER]: Arrived in Athens to find my [USER] flight to Munich so delayed that I would miss,Negative
[user] I was on a [USER] flight from Toronto to Munich during game 1 of the NBA finals ([USER] vs. [USER],Neutral
"[user] I was on a [USER] flight from Toronto to Munich during game 1 of the NBA finals ([USER] vs. [USER]
[user] [USER] [USER] [USER] [USER] [USER] On a Lufthansa flight - very impressive by that Ca",Positive
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business",Negative
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re",Negative
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re
[user] [USER] [USER] [USER] Strangely for a meat eater but I generally order vegan meal",Neutral
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re
[user] [USER] [USER] [USER] Strangely for a meat eater but I generally order vegan meal
[user] [USER] [USER] [USER] Fine, then you've chosen vegan and that's what you get. But if I",Negative
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re
[user] [USER] [USER] [USER] Strangely for a meat eater but I generally order vegan meal
[user] [USER] [USER] [USER] Fine, then you've chosen vegan and that's what you get. But if I
[user] [USER] [USER] [USER] [USER] I agree, especially since airlines seem to have z",Negative
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re
[user] [USER] [USER] [USER] Strangely for a meat eater but I generally order vegan meal
[user] [USER] [USER] [USER] Fine, then you've chosen vegan and that's what you get. But if I
[user] [USER] [USER] [USER] [USER] I agree, especially since airlines seem to have z
[user] [USER] [USER] [USER] [USER] I think most airline food is tasteless and lac",Negative
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re
[user] [USER] [USER] [USER] I think you're right, some restaurants do this too, vegan c",Negative
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re
[user] [USER] [USER] [USER] I think you're right, some restaurants do this too, vegan c
[user] [USER] [USER] [USER] Restaurant is a different cause you'll know what you're gett",Negative
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re
[user] [USER] [USER] [USER] I think you're right, some restaurants do this too, vegan c
[user] [USER] [USER] [USER] Restaurant is a different cause you'll know what you're gett
[user] [USER] [USER] [USER] yep agree, we got upgraded recently but no veggie meal book",Negative
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re
[user] [USER] [USER] [USER] I think you're right, some restaurants do this too, vegan c
[user] [USER] [USER] [USER] Restaurant is a different cause you'll know what you're gett
[user] [USER] [USER] [USER] yep agree, we got upgraded recently but no veggie meal book
[user] [USER] [USER] [USER] [USER] lush veggie dinner at the lounge …. [URL]",Positive
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re
[user] [USER] [USER] [USER] I think you're right, some restaurants do this too, vegan c
[user] [USER] [USER] [USER] Restaurant is a different cause you'll know what you're gett
[user] [USER] [USER] [USER] yep agree, we got upgraded recently but no veggie meal book
[user] [USER] [USER] [USER] [USER] lush veggie dinner at the lounge …. [URL]
[user] [USER] [USER] [USER] [USER] 😏",Positive
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re
[user] [USER] [USER] [USER] I think you're right, some restaurants do this too, vegan c
[user] [USER] [USER] [USER] Restaurant is a different cause you'll know what you're gett
[user] [USER] [USER] [USER] yep agree, we got upgraded recently but no veggie meal book
[user] [USER] [USER] [USER] [USER] lush veggie dinner at the lounge …. [URL]
[user] [USER] [USER] [USER] [USER] I guess I've been luckier with my lounges! L",Positive
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re
[user] [USER] [USER] [USER] I think you're right, some restaurants do this too, vegan c
[user] [USER] [USER] [USER] Restaurant is a different cause you'll know what you're gett
[user] [USER] [USER] [USER] yep agree, we got upgraded recently but no veggie meal book
[user] [USER] [USER] [USER] [USER] lush veggie dinner at the lounge …. [URL]
[user] [USER] [USER] [USER] [USER] [URL]",Neutral
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re
[user] [USER] [USER] [USER] I think you're right, some restaurants do this too, vegan c
[user] [USER] [USER] [USER] Restaurant is a different cause you'll know what you're gett
[user] [USER] [USER] [USER] yep agree, we got upgraded recently but no veggie meal book
[user] [USER] [USER] [USER] [USER] lush veggie dinner at the lounge …. [URL]
[user] [USER] [USER] [USER] [USER] [URL]
[user] [USER] [USER] [USER] [USER] If we get a lounge I usually raid the fresh fr",Neutral
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re
[user] [USER] [USER] [USER] I think you're right, some restaurants do this too, vegan c
[user] [USER] [USER] [USER] Restaurant is a different cause you'll know what you're gett
[user] [USER] [USER] [USER] yep agree, we got upgraded recently but no veggie meal book
[user] [USER] [USER] [USER] [USER] lush veggie dinner at the lounge …. [URL]
[user] [USER] [USER] [USER] [USER] [URL]
[user] [USER] [USER] [USER] [USER] If we get a lounge I usually raid the fresh fr
[user] [USER] [USER] [USER] [USER] Here's the made-to-order guac I love so much",Positive
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re
[user] [USER] [USER] [USER] I think you're right, some restaurants do this too, vegan c
[user] [USER] [USER] [USER] Restaurant is a different cause you'll know what you're gett
[user] [USER] [USER] [USER] yep agree, we got upgraded recently but no veggie meal book
[user] [USER] [USER] [USER] [USER] lush veggie dinner at the lounge …. [URL]
[user] [USER] [USER] [USER] [USER] [URL]
[user] [USER] [USER] [USER] [USER] If we get a lounge I usually raid the fresh fr
[user] [USER] [USER] [USER] [USER] Here's the made-to-order guac I love so much
[user] [USER] [USER] [USER] [USER] Looks great, fresh made guacamole is the best.",Positive
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re
[user] [USER] [USER] [USER] I think you're right, some restaurants do this too, vegan c
[user] [USER] [USER] [USER] Restaurant is a different cause you'll know what you're gett
[user] [USER] [USER] [USER] yep agree, we got upgraded recently but no veggie meal book
[user] [USER] [USER] [USER] [USER] lush veggie dinner at the lounge …. [URL]
[user] [USER] [USER] [USER] [USER] [URL]
[user] [USER] [USER] [USER] [USER] If we get a lounge I usually raid the fresh fr
[user] [USER] [USER] [USER] [USER] Here's the made-to-order guac I love so much
[user] [USER] [USER] [USER] [USER] Looks great, fresh made guacamole is the best.
[user] [USER] [USER] [USER] [USER] It is! 😀 I get mine made with everything exc",Positive
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re
[user] [USER] [USER] [USER] I think you're right, some restaurants do this too, vegan c
[user] [USER] [USER] [USER] Restaurant is a different cause you'll know what you're gett
[user] [USER] [USER] [USER] yep agree, we got upgraded recently but no veggie meal book
[user] [USER] [USER] [USER] [USER] lush veggie dinner at the lounge …. [URL]
[user] [USER] [USER] [USER] [USER] [URL]
[user] [USER] [USER] [USER] [USER] If we get a lounge I usually raid the fresh fr
[user] [USER] [USER] [USER] [USER] Here's the made-to-order guac I love so much
[user] [USER] [USER] [USER] [USER] Looks great, fresh made guacamole is the best.
[user] [USER] [USER] [USER] [USER] Loads of great veggie options at the BA loun",Positive
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re
[user] [USER] [USER] [USER] I think you're right, some restaurants do this too, vegan c
[user] [USER] [USER] [USER] Restaurant is a different cause you'll know what you're gett
[user] [USER] [USER] [USER] yep agree, we got upgraded recently but no veggie meal book
[user] [USER] [USER] [USER] [USER] lush veggie dinner at the lounge …. [URL]
[user] [USER] [USER] [USER] [USER] [URL]
[user] [USER] [USER] [USER] [USER] If we get a lounge I usually raid the fresh fr
[user] [USER] [USER] [USER] [USER] Here's the made-to-order guac I love so much
[user] [USER] [USER] [USER] [USER] Looks great, fresh made guacamole is the best.
[user] [USER] [USER] [USER] [USER] Loads of great veggie options at the BA loun
[user] [USER] [USER] [USER] [USER] I'm hungry 😋",Positive
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re
[user] [USER] [USER] [USER] I think you're right, some restaurants do this too, vegan c
[user] [USER] [USER] [USER] Restaurant is a different cause you'll know what you're gett
[user] [USER] [USER] [USER] yep agree, we got upgraded recently but no veggie meal book
[user] [USER] [USER] [USER] [USER] lush veggie dinner at the lounge …. [URL]
[user] [USER] [USER] [USER] [USER] [URL]
[user] [USER] [USER] [USER] [USER] If we get a lounge I usually raid the fresh fr
[user] [USER] [USER] [USER] [USER] Here's the made-to-order guac I love so much
[user] [USER] [USER] [USER] [USER] Looks great, fresh made guacamole is the best.
[user] [USER] [USER] [USER] [USER] Loads of great veggie options at the BA loun
[user] [USER] [USER] [USER] [USER] I'm hungry 😋
[user] [USER] [USER] [USER] [USER] I'm not! 😂 I don't ever need to eat again! 😀",Positive
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re
[user] [USER] [USER] [USER] I think you're right, some restaurants do this too, vegan c
[user] [USER] [USER] [USER] Restaurant is a different cause you'll know what you're gett
[user] [USER] [USER] [USER] yep agree, we got upgraded recently but no veggie meal book
[user] [USER] [USER] [USER] [USER] lush veggie dinner at the lounge …. [URL]
[user] [USER] [USER] [USER] [USER] [URL]
[user] [USER] [USER] [USER] [USER] If we get a lounge I usually raid the fresh fr
[user] [USER] [USER] [USER] [USER] Here's the made-to-order guac I love so much
[user] [USER] [USER] [USER] [USER] Looks great, fresh made guacamole is the best.
[user] [USER] [USER] [USER] [USER] This is absolutely delicious, but I have no",Positive
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re
[user] [USER] [USER] [USER] I think you're right, some restaurants do this too, vegan c
[user] [USER] [USER] [USER] Restaurant is a different cause you'll know what you're gett
[user] [USER] [USER] [USER] yep agree, we got upgraded recently but no veggie meal book
[user] [USER] [USER] [USER] [USER] lush veggie dinner at the lounge …. [URL]
[user] [USER] [USER] [USER] [USER] [URL]
[user] [USER] [USER] [USER] [USER] If we get a lounge I usually raid the fresh fr
[user] [USER] [USER] [USER] [USER] Here's the made-to-order guac I love so much
[user] [USER] [USER] [USER] [USER] [USER] So starter sorted. Yummalishess",Positive
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re
[user] [USER] [USER] [USER] I think you're right, some restaurants do this too, vegan c
[user] [USER] [USER] [USER] Restaurant is a different cause you'll know what you're gett
[user] [USER] [USER] [USER] yep agree, we got upgraded recently but no veggie meal book
[user] [USER] [USER] [USER] [USER] lush veggie dinner at the lounge …. [URL]
[user] [USER] [USER] [USER] [USER] [URL]
[user] [USER] [USER] [USER] [USER] If we get a lounge I usually raid the fresh fr
[user] [USER] [USER] [USER] [USER] Here's the made-to-order guac I love so much
[user] [USER] [USER] [USER] [USER] [USER] So starter sorted. Yummalishess
[user] [USER] [USER] [USER] [USER] [USER] Looks like the best options for a",Positive
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re
[user] [USER] [USER] [USER] I think you're right, some restaurants do this too, vegan c
[user] [USER] [USER] [USER] Restaurant is a different cause you'll know what you're gett
[user] [USER] [USER] [USER] yep agree, we got upgraded recently but no veggie meal book
[user] [USER] [USER] [USER] [USER] lush veggie dinner at the lounge …. [URL]
[user] [USER] [USER] [USER] [USER] [URL]
[user] [USER] [USER] [USER] [USER] If we get a lounge I usually raid the fresh fr
[user] [USER] [USER] [USER] [USER] Here's the made-to-order guac I love so much
[user] [USER] [USER] [USER] [USER] [USER] So starter sorted. Yummalishess
[user] [USER] [USER] [USER] [USER] [USER] Looks like the best options for a
[user] [USER] [USER] [USER] [USER] [USER] Looks pretty good stuff. Dig in",Positive
"[user] Dear [USER], cold vegetables and a fruit salad is not an acceptable vegetarian meal in business
[user] [USER] [USER] The problem (at least for me!) is that airlines treat veggies as vegans. Re
[user] [USER] [USER] [USER] I think you're right, some restaurants do this too, vegan c
[user] [USER] [USER] [USER] Restaurant is a different cause you'll know what you're gett
[user] [USER] [USER] [USER] yep agree, we got upgraded recently but no veggie meal book
[user] [USER] [USER] [USER] [USER] lush veggie dinner at the lounge …. [URL]
[user] [USER] [USER] [USER] [USER] [URL]
[user] [USER] [USER] [USER] [USER] If we get a lounge I usually raid the fresh fr
[user] [USER] [USER] [USER] [USER] Here's the made-to-order guac I love so much
[user] [USER] [USER] [USER] [USER] [USER] So starter sorted. Yummalishess
[user] [USER] [USER] [USER] [USER] [USER] Looks like the best options for a
[user] [USER] [USER] [USER] [USER] [USER] Looks pretty good stuff. Dig in
[user] [USER] [USER] [USER] [USER] [USER] There's lots of cold salad-y thing",Neutral
